label,text
1,"This rather poorly named western series won an Emmy for best syndicated program and is certainly an interesting series. It was produced by Republic, the studio which did action better than anyone, and they put their best into it. Each episode was built around a real historical figure of the old west. A railroad detective named Matt Clark, similar to the later Elliot Ness with the gangsters of the 1920's and 30's, managed to become involved with almost every notorious western outlaw between the middle of the 1800's and WWI. The series' best asset was Jim Davis. Tall, rugged, ruggedly good looking, in prime shape, with an authentic western accent, and great riding skills which made him utterly convincing in the action scenes, Davis was every inch the western hero. He was teamed with two lovely and active co-stars, Mary Castle as ""Frankie"" during the first season, and Kristine Miller as ""Jonesy"" during the second. Each worked well with Davis.<br /><br />What separated this show from its contemporaries and much of what came later was the professionalism invested in the action scenes. Ace action directer William Witney directed 30 episodes. Franklin Adreon the rest. Both filmed the action with polish. Republic's vast store of stock footage from serials and B's was utilized to give scope. The level of individual episodes rose or fell with the quality of the guest stars brought in to the play the outlaws. Among the really good ones were Marie Windsor as Belle Starr, Lee Van Cleef as Jesse James, Fess Parker as Grat Dalton, Jean Parker as Cattle Kate, and Joe Sawyer and Slim Pickins as Butch Cassady and ""The Smilin' Kid"". The cream of the western up and comers, Pickins, Parker, Denver Pyle, James Best, and Richard Jaeckel, honed their craft. B veterans with decades of experience under their belts, Harry Woods, Glenn Strange, Kenneth MacDonald, Earle Hodgkins, Steve Darrell, and Chief Yowlachie, provided the old leather feel of vintage westerns.<br /><br />The weakness of the concept was that there are only so many famous western outlaws. By the second season the famous figures were becoming a mite obscure for all by the most dedicated history buff. Nevertheless, a few of the later shows were a match for any, due to the guest stars. Henry Brandon portrayed rustler Nate Champion, and former Republic star Don Barry was outstanding as small-time outlaw Milt Sharp.<br /><br />Western fans or history buffs will want to see this."
0,"absolutely trash. i liked Halloween and from then on johnny's been in a downward spiral. this is about the pits. we get it john. pro-lifers are scary! you don't have to make a shitty film that bores the hell out of me to 'tell' me.<br /><br />The pacing is way off here. It feels like john didn't have much to work with here. to his credit it looks like he did not write this junk. There are countless times where the camera just sits and waits for the actors to look dumb or say something dumb. i love the long cut. too bad carpenter doesn't know how to employ it. he needs to bunk up with Herzog and Fassbinder 30 years ago. Please John, stop making a fool of yourself and boring me to death!"
1,"In celebration of Earth Day Disney has released the film ""Earth"". Stopping far short of any strident message of gloom and doom, we are treated to some excellent footage of animals in their habitats without feeling too bad about ourselves.<br /><br />The stars of the show are a herd of elephants, a family of polar bears and a whale and its calf. The narrative begins at the North Pole and proceeds south until we reach the tropics, all the while being introduced to denizens of the various climatic zones traversed.<br /><br />Global warming is mentioned in while we view the wanderings of polar bear; note is made of the shrinking sea ice islands in more recent years. We never see the bears catch any seals, but the father's desperate search for food leads him to a dangerous solution.<br /><br />The aerial shots of caribou migrating across the tundra is one of the most spectacular wildlife shots I ever saw; it and another of migrating wildfowl are enough to reward the price of admission to see them on the big screen.<br /><br />One of the disappointments I felt was that otherwise terrific shots of great white sharks taking seals were filmed in slow motion. Never do you get the sense of one characteristic of wild animals; their incredible speed. The idea of slowing down the film to convey great quickness I think began with (or at least it's the first I recall seeing) the television show ""Kung Fu"" during the early Seventies.<br /><br />An interesting sidelight is that as the credits roll during the end some demonstrations of the cinematographic techniques employed are revealed. There are enough dramatic, humorous and instructive moments in this movie to make it a solid choice for nature buffs. Perhaps because of some selective editing (sparing us, as it were, from the grisly end of a prey-predator moment) and the fact that this footage had been released in 2007 and is available on DVD it is a solid film in its own right. And you can take your kids!<br /><br />Three stars."
0,"This movie is being shown over and over on cable lately, so..<br /><br />There is no excuse for these 2 attractive women to fight over either Luke Wilson or the equally vapid 'villian' in this movie. The female actresses are very cute, and that's the only reason to watch this movie. I suppose it is 'funny' that Luke's even uglier/dorkier/stupider friend is around, but well, that is what we get.<br /><br />Neither of the female leads would ever, EVER talk to any of the males in this movie for more than 5 minutes. What we get is them sobbing and crying and fighting and so on over 2 guys that were best described in Friday the 13th 4. Dead *@$#"
1,"""Spin it!""<br /><br />The 90s opened up with a clever Disney favorite, ""TaleSpin,"" the TV cartoon series that featured characters from ""The Jungle Book."" Join Baloo and Kit Cloudkicker as they fly the Sea Duck like you've never seen it before: out of Cape Suzette, to Louie's, up mountains, through jungles, on water, in volcanoes, looking for adventure, looking for treasure, looking for fun, all in one action-packed cartoon adventure!!!!!<br /><br />This was a favorite of mine as well as my family's. This ran on The Disney Afternoon the entire first half of the 90s until the original cartoons moved to the Old Disney Channel in 1995, which I have seen on vacation once in 1996 before getting cable in March 1997.<br /><br />And good news: today the DVDs are here!!!!! Relive the fun and excitement of ""Dun, dun, dun, TaleSpin!!!!!""<br /><br />10/10"
0,"This movie is just crap. Even though the directors claim to be part of that oi-culture, it's still a very, very bad directorial debut. The topic itself is very interesting and I accept the bad acting due to the fact, that they are all amateurs and never acted before, but the worst thing about this film are the dialogs and very unexperienced and naive directing. There's no timing at all in that movie. I felt like the directors were so exited to do that movie (it's their first feature), that they actually never really asked themselves, what story they wanna tell. I met Ben (one of the directors) on several occasions and he's a nice and thoughtful guy, but that doesn't make him a director. I think, that ""American History X"" is full of clichés, but somehow manages to transport a story. ""Oi!Warning"" is full of clichés, doesn't tell anything new or provocative and (-that's the sad thing about this movie) it's far from any Oi!-Reality.<br /><br />If you wanna see weird but great German films, watch the movies of Michael Haneke, Christoph Schlingensief, Oskar Roehler, Hans Weingartner or Oliver Hirschbiegel:<br /><br />Benny's Video Funny Games Die Unberührbare Mein Letzter Film Das Experiment Das Weisse Rauschen Muxmäuschenstill ...<br /><br />*** out of ten, because of the topic and the photography"
0,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />McBain (played by Gary Busey, before the name became synonymous with the character in The Simpsons) is a (typically) unorthodox cop who gets results but winds his superiors up something rotten. Avoiding the cliché of his partner being killed at the beginning of the film, the plot instead takes a different turn and sees him assigned to travel to Mexico where a top secret American super tank with incredible firepower and imaging capabilities has been smuggled through, only to be taken hostage, along with the crew, by a gang of terrorists.<br /><br />This cheap looking (even by 80s standards), boring little action film was a bizarre career move for Gary Busey after making an impression as the flame haired villain Mr Joshua in Lethal Weapon. He just goes through the motions with his cardboard character here, edgy and zany as ever (with 'butthorn' being his trademark put down for the bad guys), but without the material to back him up. Henry Silva has presence as a screen villain, but he's totally miscast here as an Arab leader (in a red beret!) and the awful script gives him some really clunky lines of dull dialogue that make his performance come off as laughably wooden. He's just one of a host of action film character actors, including L.Q. Jones and Lincoln Kilpatrick, who pop up but fail to add anything to the mix. After a dull first half without much exciting action, things do pick up a bit at the end, but it's too little too late and none of it manages the task of being any fun. *"
0,"The Good: I liked this movie because it was the first horror movie I've seen in a long time that actually scared me. The acting wasn't too bad, and the ""Cupid"" killer was believable and disturbing.<br /><br />The Bad: The story line and plot of this movie is incredibly weak. There just wasn't much to it. The ways the killer killed his victims was very horrifying and disgusting. I do not recommend this movie to anyone who can not handle gore.<br /><br />Overall: A good scare, but a bad story.<br /><br />** out of *****"
1,"May 2004, Wonderland is fairly new in the UK. Brilliant film of a brutal true story. If you know LA from the early 80's, you will appreciate how well it is captured. The use of the elements which make up its gritty cinematic style is original, amplifying the experience and bringing the viewer very close to actually being there. The use of a disjointed 'Pulp Fiction' style time line allows exploration of the uncertainty concerning what really happened, while the direction and performances of the cast command attention, especially Val Kilmer as John Holmes; an Oscar for sure if I were handing them out."
0,"When the employees of a theater find an old reel of film, they decide to show it at the midnight screening of Night of the Living Dead, assuming it's an old preview reel. Unfortunately, it's actually an old Nazi mind control experiment that turns the audience into a horde of mindless shuffling zombies.<br /><br />I can't understand the hate for this movie. It is a low budget independent production with a lot of camp, but it doesn't deserve a ""1.1"" here on IMDb. It is just so much fun. It is obvious that the filmmakers have a reasonable knowledge and love of old horror movies, and they have created an entertaining tribute to them sprinkled with references and homages to a variety of them. It has the feel of such things as Night of the Living Dead (in many ways, very similar), Evil Dead 2 and Army of Darkness, and various others.<br /><br />I liked the explanation of how the zombies, though really just hypnotized into thinking they are zombies, actually come to have the physical attributes of the living dead-unbelievable, perhaps, but I appreciate the effort by the writers to explain it. The gore effects were decent for the budget, the acting was all right, and the story was entertaining.<br /><br />I liked it."
